"filename", "language", "JSON", "Markdown", "Ignore", "JSON with Comments", "Python", "C#", "C++", "XML", "Java", "Shell Script", "Go", "C", "YAML", "Batch", "pip requirements", "Docker", "reStructuredText", "Properties", "JavaScript", "HTML", "Go Checksum File", "Go Module File", "TypeScript", "TypeScript React", "CSS", "comment", "blank", "total"
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/onepass.cc", "C++", 0, 0, 0, 0, 0, 0, 340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 61, 611
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/parse.cc", "C++", 0, 0, 0, 0, 0, 0, 1586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 475, 224, 2285
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/perl_groups.cc", "C++", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 120
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/prefilter.cc", "C++", 0, 0, 0, 0, 0, 0, 513, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 113, 710
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/prefilter.h", "C++", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 31, 106
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/prefilter_tree.cc", "C++", 0, 0, 0, 0, 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 53, 402
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/prefilter_tree.h", "C++", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 30, 132
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/prog.cc", "C++", 0, 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 52, 344
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/prog.h", "C++", 0, 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 61, 382
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/re2.cc", "C++", 0, 0, 0, 0, 0, 0, 994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 132, 1247
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/regexp.cc", "C++", 0, 0, 0, 0, 0, 0, 724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 120, 938
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/regexp.h", "C++", 0, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 243, 105, 634
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/set.cc", "C++", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 114
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/set.h", "C++", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 12, 56
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/simplify.cc", "C++", 0, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 44, 393
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/stringpiece.cc", "C++", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 92
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/stringpiece.h", "C++", 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 32, 186
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/tostring.cc", "C++", 0, 0, 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 51, 342
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/unicode_casefold.cc", "C++", 0, 0, 0, 0, 0, 0, 465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 481
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/unicode_casefold.h", "C++", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 14, 76
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/unicode_groups.cc", "C++", 0, 0, 0, 0, 0, 0, 5066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 5079
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/unicode_groups.h", "C++", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 65
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/atomicops.h", "C++", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 49, 165
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/benchmark.h", "C++", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 42
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/flags.h", "C++", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 28
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/hash.cc", "C++", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 17, 232
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/logging.h", "C++", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 87
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/mutex.h", "C++", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 38, 214
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/pcre.h", "C++", 0, 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 318, 65, 680
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/util/random.h", "C++", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 30
